City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
bay area,Pharma,Prefer not to say,Start-up,200-1000,Senior Scientist I,Bachelors or Equivalent,8,145600,,17420,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,1% match,100% paid by employer,4%,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Big pharma ,Subsidiary,200-1000,Sr Principal Scientist ,Bachelors or Equivalent,7,150000,,68000,25000,,USA,N/A (no overtime/salaried),2023,8000-16000,6% and pension ,HSA $80/month 600 contribution by company ,Have not been long enough to have an annual yearly raise,,,,,,,,,,8-16k a year ,,,San Francisco,California
research triangle,Pharma,Prefer not to say,Private,50-200,Director,Bachelors or Equivalent,19,206000,,51500,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,6% 401K match,,3,,,,,,,,,,,,,Research Triangle,
boston,Pharma,Prefer not to say,Start-up,50-200,Sr. RA,Bachelors or Equivalent,3,86320,,4100,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k 3% contribution regardless of employee contribution,"Two plan options both ppo, company covers deductable with hra with the high premium plan (200/month for individual)  contributes the same to an HSA for the low premium plan (40/month for individual). Dental and vision they cover in full. Coverage available for family but close to double premiums",Have not been long enough to have an annual yearly raise,,,,,,,,,,I know I got some options but I can't remember how many tbh,,,Boston,Massachusetts
seattle,Pharma,Prefer not to say,Public,1000-5000,Associate Director of Manufacturing,Bachelors or Equivalent,20,206000,,42000,,,USA,N/A (no overtime/salaried),2023,80000,100% up to 4%,,6,,,,,,,,,,,,,Seattle,Washington
new jersey,Pharma,Prefer not to say,Public,1000-5000,Principal Scientist,PhD or Equivalent,6,154000,,23000,10000,,USA,N/A (no overtime/salaried),2023,40000,6% 401k match,,4,,,,,,,,,,,,,New Jersey,
boston,Pharma,Takeda,Public,5000+,Associate Director,Bachelors or Equivalent,11,180000,,22%,,,USA,N/A (no overtime/salaried),2023,40000,"4% match, yearly slowly vesting grant which is based on age+years of service - currently 5.5% for me","cheap HSA, 900 per year contribution from employer",5%,,,,,,,,,,,,,Boston,Massachusetts
seattle,Pharma,Prefer not to say,Public,1000-5000,Director ,PhD or Equivalent,12,210000,,52000,50000,,USA,N/A (no overtime/salaried),2023,110000,5% 401k match,,5,,,,,,,,,,,,,Seattle,Washington
boston,Pharma,Prefer not to say,Private,50-200,Principal Scientist,PhD or Equivalent,4,151000,,"22,650",2000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,3% 401k match,Blue cross -- 90% of costs covered by company. $2k deductible. $2k HSA contribution made by employer.,4.25,,,,,,,,,,5 year vesting schedule with 1 year cliff (newer options are now a 4 year schedule). ,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,5000+,Principal Scientist III,PhD or Equivalent,15,200000,,20%,0,,USA,N/A (no overtime/salaried),2023,10%,401 match 6%,PPO,"4% for 2023, lower most years",,,,,,,,,,,,,Boston,Massachusetts
indianapolis,Pharma,Prefer not to say,Public,5000+,Post-doctoral Scientist,PhD or Equivalent,1,84000,,Not Applicable/None,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401K 6% match,,9%,,,,,,,,,,,,,Indianapolis,
bay area,Pharma,Prefer not to say,Public,200-1000,Research Associate II,Bachelors or Equivalent,4,95000,,9500,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,5.56,,,,,,,,,,,,,San Francisco,California
southeast,Pharma,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,2,104000,,15%,,,USA,N/A (no overtime/salaried),2023,3200,5 % 401 K Match,,4%,,,,,,,,,,Options and RSU granted annually. 4 year vesting cycle,,,Southeast,
nyc,Pharma,Regeneron,Public,5000+,Senior Manager,PhD or Equivalent,6,175000,,29750,25000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401K match is paid in company stock,"Most robust health insurance plan is ~$240/month; $500 deductible, $3,000 OOP max",Have not been long enough to have an annual yearly raise,,,,,,,,,,"Options vest annually, RSU grants vest every 2 years",,,New York,New York
san diego,Pharma,Prefer not to say,Start-up,Jan-50,Research Associate II,Bachelors or Equivalent,7,63000,,Not Applicable/None,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,3% 401K match,"PPO, FSA",Company/Institution does not have annual yearly raise,,,,,,,,,,1200 vested over 3 years,,,San Diego,California
bay area,Pharma,Prefer not to say,Start-up,50-200,Research Associate II,Bachelors or Equivalent,2,90640,,10%,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,3,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Prefer not to say,Public,50-200,Sr Director,PhD or Equivalent,12,250000,,50000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 3%,Free,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Prefer not to say,Public,50-200,"Manager, R&D Operations",Masters or Equivalent,8,153920,,23088,10000,,USA,N/A (no overtime/salaried),2023,30000,401k match - up to 6%,"Health, dental, and vision",4%,,,,,,,,,,RSU and Options,,,Boston,Massachusetts
boston,Pharma,Scorpion Therapeutics,Private,50-200,Senior Scientist I,PhD or Equivalent,2,150000,,15,15000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,5%,,,,,,,,,,,,,Boston,Massachusetts
los angeles,Pharma,Gilead (Kite Pharma),Public,5000+,Quality Engineer III,PhD or Equivalent,1,112000,,12000,0,,USA,N/A (no overtime/salaried),2023,25000,Standard Gilead $150000 401k match,"Subsidized PPO for PPO, HSA contributions for HSA",Have not been long enough to have an annual yearly raise,,,,,,,,,,0,,,Los Angeles,California
denver,Pharma,Pfizer,Public,5000+,Principal Scientist,PhD or Equivalent,4,138000,,20700,,,USA,N/A (no overtime/salaried),2023,6000,4.5% 401K Match; 6% annual lump sum,,5.5,,,,,,,,,,,,,Denver,
philadelphia,Pharma,J&J,Public,5000+,Scientist,PhD or Equivalent,1,130000,,16000,10000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,4,,,,,,,,,,,,,Philadelphia,Pennsylvania
boston,Pharma,Novartis,Public,5000+,Research Scientist II,Masters or Equivalent,0,99750,,7%,15000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 4%,,5%,,,,,,,,,,ESPP,,,Boston,Massachusetts
bay area,Pharma,Prefer not to say,Public,200-1000,Research Associate II,Bachelors or Equivalent,3,105000,,5500,5000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,1/2 401k match to 3%,Extensive and affordable,4.20%,,,,,,,,,,7000 options at signing 4 year vest 1 year cliff,,,San Francisco,California
philadelphia,Pharma,Prefer not to say,Public,200-1000,"Scientist, PD",Masters or Equivalent,4,107000,,Not Applicable/None,4000,,Usa,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Philadelphia,Pennsylvania
seattle,Pharma,Prefer not to say,Public,200-1000,Sr Computational Biologist,PhD or Equivalent,2,149000,,22000,5000,,USA,N/A (no overtime/salaried),2023,60000,3000 annual match ,"Option between FSA or HSA plan. For HSA plan, employer diverts about $80/month of your pre-tax salary to the HSA account. $3000 deductible. Annual max out of pocket spend is $6000. Regular checkups, dental and eye exams are completely covered.",5,,,,,,,,,,No options - equity is in restricted stock units (RSUs),,,Seattle,Washington
"rockville, md",Pharma,Prefer not to say,Start-up,Jan-50,Scientist,PhD or Equivalent,5,110000,,15-Oct,2000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,3,75% employer 25% employee,Have not been long enough to have an annual yearly raise,,,,,,,,,,5000 stocks to be vested over the time,,,Rockville,
bay area,Pharma,Prefer not to say,Start-up,50-200,Director,Bachelors or Equivalent,9,245000,,49000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,5% 401k match,"Medical/Dental, FSA/HSA",Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
los angeles,Pharma,Prefer not to say,Private,5000+,Senior Associate,Masters or Equivalent,1,95000,,Depends on companies performance ,10000,,USA,1.5x base,2023,5000,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Los Angeles,California
san diego,Pharma,Prefer not to say,Private,200-1000,Research Associate 2,Bachelors or Equivalent,3,80000,,10% of salary ,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k up to 5% match ,Cigna ,Have not been long enough to have an annual yearly raise,,,,,,,,,,I have stock and options but don’t know the total,,,San Diego,California
philadelphia,Pharma,Prefer not to say,Public,5000+,M1,Bachelors or Equivalent,2,100000,,13%,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,4.5% match plus pension ,Amazing ,4.50%,,,,,,,,,,0,,,Philadelphia,Pennsylvania
philadelphia,Pharma,Prefer not to say,Government,Jan-50,Scientific Project Manager,Masters or Equivalent,20,90000,,Not Applicable/None,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,11% 401k Match,"very inexpensive, health, vision, dental, std, ltd, etc. ",2,,,,,,,,,,0,,,Philadelphia,Pennsylvania
boston,Pharma,Catalent,Public,5000+,Manufacturing Tech II,Bachelors or Equivalent,3,61900,,4333,,,USA,10% shift differential -1.5x after 40hrs - 2x on Saturdays ,2023,Not Applicable/None,401k match up to 6%,,5%,,,,,,,,,,,,,Boston,Massachusetts
san diego,Pharma,Prefer not to say,Public,5000+,Sr. Scientist,Bachelors or Equivalent,15,135000,,12%,15000,,USA,N/A (no overtime/salaried),2023,$15k,,,3%,,,,,,,,,,,,,San Diego,California
bay area,Pharma,Prefer not to say,Public,200-1000,Sr Scientist 2 (AD equivalent),PhD or Equivalent,6,176800,,40000,10000,,USA,N/A (no overtime/salaried),2023,25000,,,4,,,,,,,,,,,,,San Francisco,California
seattle,Pharma,Prefer not to say,Start-up,Jan-50,research associate I,Bachelors or Equivalent,1,66000,,10%,,,usa,N/A (no overtime/salaried),2023,"option to buy 15,000 shares",401k match,"health, dental, vision",10% (due to 2022 inflation) ,,,,,,,,,,option to buy shares,,,Seattle,Washington
boston,Pharma,Prefer not to say,Public,5000+,Associate Director,PhD or Equivalent,10,191000,,38000,5000,,USA,N/A (no overtime/salaried),2023,40000,2 to 1 match up to 3% employee contribution ,,3%,,,,,,,,,,Annual RSU grant that vests over 3 year,,,Boston,Massachusetts
bay area,Pharma,Cell and Gene Therapy Clinical Phase Startup,Public,50-200,"Associate Director, Supply Chain",Bachelors or Equivalent,10,208000,,17.50%,17500,,USA,N/A (no overtime/salaried),2023,50000,4% match,,4%,,,,,,,,,,15500,,,San Francisco,California
bay area,Pharma,Prefer not to say,Start-up,Jan-50,Senior Research Associate,Bachelors or Equivalent,7,110000,,Not Applicable/None,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
philadelphia,Pharma,Prefer not to say,Public,5000+,Senior scientist,PhD or Equivalent,4,152000,,23000,15000,,Usa,N/A (no overtime/salaried),2023,Not Applicable/None,4.5% 401k match and pension,HSA and high deductible health insurance,4,,,,,,,,,,0,,,Philadelphia,Pennsylvania
bay area,Pharma,AbbVie,Public,,Associate Scientist I,Bachelors or Equivalent,2,82000,,Not Applicable/None,5000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
san diego,Pharma,Prefer not to say,Private,50-200,Principal Scientist,PhD or Equivalent,21,167000,,33400,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k match up to 5%,standard healthcare and life insurance overall pretty cheap,4,,,,,,,,,,140000,,,San Diego,California
bay area,Pharma,Prefer not to say,Private,50-200,"Manager, Analytical Development and QC ",Bachelors or Equivalent,8,113000,,Not Applicable/None,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,3%,,,,,,,,,,,,,San Francisco,California
research triangle,Pharma,BIOGEN,Public,5000+,ASSOCIATE 2,Bachelors or Equivalent,4,68000,,5000,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401K UPTO 3%,GOOD HEALTH CARE. ,4,,,,,,,,,,16 RSU EACH YEAR 4 VESTED OUT EVERY YEAR,,,Research Triangle,
nyc,Pharma,Prefer not to say,Public,1000-5000,Associate Director - Marketing,Masters or Equivalent,6,170000,,17.5% usually more based on company performance,,,USA,N/A (no overtime/salaried),2023,$10k,401k match of 6%,"Various healthcare plans including PPO, HSAs etc. ",7%,,,,,,,,,,Yearly RSU plan given with bonus. 25% vests every year for 4 years. ,,,New York,New York
boston,Pharma,Prefer not to say,Public,5000+,Lead Scientist,PhD or Equivalent,6,175000,,26000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,9% 401k match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
san diego,Pharma,Prefer not to say,Subsidiary,50-200,Scientist II,PhD or Equivalent,3,141000,,12%,,,USA,N/A (no overtime/salaried),2023,14000,401k match 5%,,4.50%,,,,,,,,,,,,,San Diego,California
san diego,Pharma,Prefer not to say,Start-up,50-200,Associate Scientist,Bachelors or Equivalent,3,85000,,Not Applicable/None,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 6%,"Kaiser HMO, HSA contributions",1%,,,,,,,,,,"10,000",,,San Diego,California
boston,Pharma,Prefer not to say,Public,5000+,Scientist 1,PhD or Equivalent,0,123000,,15500,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,"8% contribution from company, 1% match",Average coverage,Have not been long enough to have an annual yearly raise,,,,,,,,,,15000,,,Boston,Massachusetts
boston,Pharma,AstraZeneca,Public,5000+,Senior Scientist ,Masters or Equivalent,10,160000,,35000,0,,USA,N/A (no overtime/salaried),2023,25000,,,3,,,,,,,,,,,,,Boston,Massachusetts
san diego,Pharma,Prefer not to say,Public,1000-5000,Clinical Specialist,Bachelors or Equivalent,2,100000,,20000,,,USA,N/A (no overtime/salaried),2023,10000,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Diego,California
bay area,Pharma,Prefer not to say,Public,200-1000,Associate Scientist,Bachelors or Equivalent,3,113000,,13560,,,usa,N/A (no overtime/salaried),2023,5000,401K flat 4% contribution (no employee contribution required),"100% employer paid premium; HSA contribution of $2k annually if on HDHP (3K deductible, 5k oop)",Have not been long enough to have an annual yearly raise,,,,,,,,,,ISO and RSU offered. ESPP with stock purchased at 15% discount on the lower price of initial date and purchase date,,,San Francisco,California
boston,Pharma,Prefer not to say,Private,50-200,Pharmacovigilance Operations Manager ,Bachelors or Equivalent,5,165,,20,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,3%,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,BMS,Public,5000+,QC Analyst ,Bachelors or Equivalent,0,72800,,Not Applicable/None,,,USA,1.5x base,2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Lyndra Therapeutics,Start-up,50-200,Scientist I,PhD or Equivalent,0,105000,,11550,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Company/Institution does not have annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
philadelphia,Pharma,Prefer not to say,Start-up,50-200,Associate Scientist,Masters or Equivalent,7,89000,,4000,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,Up to 4% retirement match,"Several options for health, dental, vision, F/HSA at differing costs/deductibles",Company/Institution does not have annual yearly raise,,,,,,,,,,"Sign-on option package, annual options awarded, ESPP",,,Philadelphia,Pennsylvania
boston,Pharma,Vertex Pharmaceuticals,Public,1000-5000,Computational Biology Intern,PhD or Equivalent,0,104000,,Not Applicable/None,,,USA,1.5x base,2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Private,Jan-50,CQV Consultant,Masters or Equivalent,3,130000,,Not Applicable/None,0,,USA,1x straight time,2023,Not Applicable/None,,Cost of healthcare thru marketplace included in salary no group plan ,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,5000+,Senior Compliance Specialist,Masters or Equivalent,2,100000,,8000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,6% match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,Prefer not to say,Start-up,Jan-50,Research Associate II,Bachelors or Equivalent,3,90000,,9000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Joinn Biologics,Private,50-200,Sr. Scientist,Masters or Equivalent,5,12700,,up to 10%,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 1x up to 3% and 0.5 x up to 5%,"Health insurance paid for by company from UHC/Kaiser. HSA, FSA available. ",3%,,,,,,,,,,0,,,San Francisco,California
boston,Pharma,Prefer not to say,Start-up,Jan-50,Senior Scientist,PhD or Equivalent,3,168000,,25000,0,,usa,N/A (no overtime/salaried),2023,30000,Standard,Standard,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,50-200,Sr. Clinical Trial Associate,Masters or Equivalent,5,118000,,12%,0,,USA,ACRP,2023,4000,401K where they match 100% of the first 6%,Company pays 90%,3.50%,,,,,,,,,,granted stock options upon joining and receive stock options every year,,,Boston,Massachusetts
